ml_algo,bias,Monte_carlo_SE_bias,prct_bias,Monte_carlo_SE_prct_bias,abs_bias,Monte_carlo_abs_bias_SE,MSE,Monte_carlo_SE_MSE,empirical_SE,Monte_carlo_SE_empirical,time,nancount,n_conf,n_observations,iterations_monte_carlo,B_T,gamma,lam,linear,outcome_nuisance,propensity_nuisance,x_omit,Scenario,cov,Correlation,RMSE,DGP
Linear Regression,0.0022166952953276,0.0026889563188873,0.2216695295327604,0.2688956318887368,0.048370243994324,0.0015973712061317,0.0036129262943895,0.0002224778804291,0.0601268911755975,0.0019032834834777,0.0140346908569335,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X999,No Omit,0.0017944448826248,0.0011226489936021,0.060107622598049075,Linear
DML,-1.9060361174395504,0.0190708516036159,-190.60361174395504,1.907085160361595,1.9060361174395504,0.0190708516036159,3.814458674046726,0.0744861005878736,0.4264372057449612,0.0134986338818757,3.727838258743286,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X999,No Omit,0.0017944448826248,0.0011226489936021,1.9530639196008732,Linear
T-learner,0.6009596495340561,0.0025466565672457,60.09596495340561,0.2546656567245752,0.6009596495340561,0.0025466565672457,0.364388744744172,0.0030546244839899,0.0569449719970776,0.0018025615918277,0.6504624938964844,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X999,No Omit,0.0017944448826248,0.0011226489936021,0.6036462082579265,Linear
X-learner,0.156968091045823,0.0028782598520735,15.696809104582298,0.2878259852073581,0.1572922937422232,0.0028425698399258,0.028772887114823,0.0009423599830458,0.0643598468614501,0.0020372753544302,3.520651469230652,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,ElasticNet,X999,No Omit,0.0017944448826248,0.0011226489936021,0.16962572657124567,Linear
XBCF,0.2720756170004572,0.0029318167896735,27.20756170004572,0.2931816789673548,0.2720756170004572,0.0029318167896735,0.0783143206605971,0.0016028315859971,0.0655574163928525,0.002075183755561,1.7403108072280884,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X999,No Omit,0.0017944448826248,0.0011226489936021,0.27984695935563975,Linear
Linear Regression,0.3310909291085028,0.0027328811602074,33.109092910850286,0.2732881160207471,0.3310909291085028,0.0027328811602074,0.113348054416404,0.0018142233297195,0.0611090804865239,0.0019343741428579,0.0155417966842651,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1,S,0.0582082385571679,0.0352979181444608,0.3366720279684726,Linear
DML,-1.2614453359554083,0.0199987493032562,-126.14453359554084,1.9998749303256296,1.2614453359554083,0.0199987493032562,1.7908193724772088,0.0527635510239173,0.4471856290705761,0.0141554137461218,3.1218958997726443,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1,S,0.0582082385571679,0.0352979181444608,1.3382149948633848,Linear
T-learner,0.7428057923881017,0.0027494140702612,74.28057923881018,0.2749414070261251,0.7428057923881017,0.0027494140702612,0.5555325247924615,0.0040985947695977,0.0614787675939854,0.0019460763837676,0.3565947484970093,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1,S,0.0582082385571679,0.0352979181444608,0.7453405428342548,Linear
X-learner,0.427177114273623,0.0030595838525213,42.717711427362296,0.3059583852521324,0.427177114273623,0.0030595838525213,0.187151452581094,0.0026129492772506,0.0684143747709836,0.0021656191928132,2.9316533994674683,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,ElasticNet,X1,S,0.0582082385571679,0.0352979181444608,0.43261004678705045,Linear
XBCF,0.5476663539096485,0.0028578864172615,54.76663539096485,0.285788641726157,0.5476663539096485,0.0028578864172615,0.3040140250768983,0.0031290631338394,0.0639042830097019,0.0020228547326793,1.5482478952407837,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1,S,0.0582082385571679,0.0352979181444608,0.5513746685121635,Linear
